id	string	family	given	name	flag	start	end
bm000053444	Cherry, E. (Nellie) (fl. 1907-1910)	Cherry	E.	E. Cherry			
bm000357803	Béna, Robert	Béna	Robert	Robert Béna			
bm000346222	Picot, Henry Philip	Picot	Henry Philip	Henry Philip Picot			
bm000333952	Vierhapper, Friedrich (1844-1903)	Vierhapper	Friedrich	Friedrich Vierhapper		1844	1903
bm000140913	Rojas H., Agustin	Rojas H.	Agustin	Agustin Rojas H.			
bm000030652	Ballesteros, W. (fl. 1986)	Ballesteros	W.	W. Ballesteros	fl. 	1986	
bm000140402	Miranda, Guillermo (fl. 1981)	Miranda	Guillermo	Guillermo Miranda	fl. 	1981	
bm000153148	Perrotet, G.S. (1793-1870)	Perrotet	G.S.	G.S. Perrotet		1793	1870
bm000340409	Abbott, Thomas F.	Abbott	Thomas F.	Thomas F. Abbott			
bm000337820	Renqvist, Henrik Vilhelm	Renqvist	Henrik Vilhelm	Henrik Vilhelm Renqvist			
bm000372308	Willmarth, Harriet M.	Willmarth	Harriet M.	Harriet M. Willmarth			
bm000128433	Snow, Neil (1960-)	Snow	Neil	Neil Snow		1960	
bm000380406	Rachmat (1871-1957)	Rachmat (1871-1957)             					
bm000025599	Van Kerkhoven, Emiel (fl. 1912-1913)	Van Kerkhoven	Emiel	Emiel Van Kerkhoven	fl. 	1912	1913
bm000379210	Cazier, S.E.	Cazier	S.E.	S.E. Cazier			
bm000005618	Merxmüller, Hermann (1920-1988)	Merxmüller	Hermann	Hermann Merxmüller		1920	1988
bm000350576	Shan, Han-Jung	Shan	Han-Jung	Han-Jung Shan			
bm000378063	Gremers (fl. 1990)	Gremers (fl. 1990)             					
bm000349185	Wissinger	Wissinger             					
bm000139784	Iniquez, E.	Iniquez	E.	E. Iniquez			
bm000352591	Thwaites, W.A.	Thwaites	W.A.	W.A. Thwaites			
bm000053824	Clary, Karen Husum (1952-)	Clary	Karen Husum	Karen Husum Clary		1952	
bm000037378	Lazare, Jean-Jacques (1949-)	Lazare	Jean-Jacques	Jean-Jacques Lazare		1949	
bm000347550	Bailey, G.H.	Bailey	G.H.	G.H. Bailey			
bm000332113	Hölboll, C.P. (1795-1856)	Hölboll	C.P.	C.P. Hölboll		1795	1856
bm000365243	Millward, A.	Millward	A.	A. Millward			
bm000360986	Sieurin, Emil	Sieurin	Emil	Emil Sieurin			
bm000348386	Ravaud	Ravaud             					
bm000378213	Schramm, Otto Christoph (1791-1863)	Schramm	Otto Christoph	Otto Christoph Schramm		1791	1863
bm000377849	Spennemann, August W.	Spennemann	August W.	August W. Spennemann			
bm000354011	Córdoba, A.	Córdoba	A.	A. Córdoba			
bm000331676	Martelino, A. (fl. 1919)	Martelino	A.	A. Martelino	fl. 	1919	
bm000024350	Roscher, Albrecht (1836-1860)	Roscher	Albrecht	Albrecht Roscher		1836	1860
bm000137808	Santos, Flávio A.M. dos (fl. 1981-2001)	Santos	Flávio A.M. dos	Flávio A.M. dos Santos	fl. 	1981	2001
bm000040770	Araque Molina, Jorge (fl. 1948-1950)	Araque Molina	Jorge	Jorge Araque Molina	fl. 	1948	1950
bm000332096	Gates, Hezekiah (-1850)	Gates	Hezekiah	Hezekiah Gates			
bm000326873	Kickx, Jean (1803-1864)	Kickx	Jean	Jean Kickx		1803	1864
bm000376312	Balfour, Andrew	Balfour	Andrew	Andrew Balfour			
bm000042613	Sullivan, James Rodney (fl. 1970)	Sullivan	James Rodney	James Rodney Sullivan	fl. 	1970	
bm000365423	Corlett, Michael P. (1937-)	Corlett	Michael P.	Michael P. Corlett		1937	
bm000055571	Stearns, Elmer (fl. 1912)	Stearns	Elmer	Elmer Stearns	fl. 	1912	
bm000000295	Aublet, Jean Baptiste Christophore Fusée (1720-1778)	Aublet	Jean Baptiste Christophore Fusée	Jean Baptiste Christophore Fusée Aublet		1720	1778
bm000329654	Eastham, John William (1879-1968)	Eastham	John William	John William Eastham		1879	1968
bm000378574	Domingo, D.C.	Domingo	D.C.	D.C. Domingo			
bm000326686	TRUE, Rodney Howard (1866-1940)	TRUE	Rodney Howard	Rodney Howard TRUE		1866	1940
bm000344179	Garretsen	Garretsen             					
bm000348213	Tschesnokoff	Tschesnokoff             					
bm000335789	Ashcroft, George B.	Ashcroft	George B.	George B. Ashcroft			
bm000152186	Kolbe, A.E.	Kolbe	A.E.	A.E. Kolbe			
bm000300171	Lewis, Waller August (1817-1882)	Lewis	Waller August	Waller August Lewis		1817	1882
bm000117188	Cadena, A. (fl. 1989)	Cadena	A.	A. Cadena	fl. 	1989	
bm000154265	Teillier Arredondo, Sebastian	Teillier Arredondo	Sebastian	Sebastian Teillier Arredondo			
bm000023954	Louvel, Modeste (François Clément) (1877-1957)	Louvel	Modeste	Modeste Louvel			
bm000126480	Wheatley, J.I. (fl. 1992-1993)	Wheatley	J.I.	J.I. Wheatley	fl. 	1992	1993
bm000368052	Rätzel, Stefan	Rätzel	Stefan	Stefan Rätzel			
bm000381097	Barrett, William Bowles (1833-1915)	Barrett	William Bowles	William Bowles Barrett		1833	1915
bm000038254	Plowden, Walter Chichele (1820-1860)	Plowden	Walter Chichele	Walter Chichele Plowden		1820	1860
bm000130821	Randlehoff, C.J. (fl. 2001)	Randlehoff	C.J.	C.J. Randlehoff	fl. 	2001	
bm000359367	Martin, Anton Rolandsson (1729-1786)	Martin	Anton Rolandsson	Anton Rolandsson Martin		1729	1786
bm000328753	Boswell, Eliza	Boswell	Eliza	Eliza Boswell			
bm000151475	Gillies, N.M.E. (1902-)	Gillies	N.M.E.	N.M.E. Gillies		1902	
bm000344677	Will, Heinrich Ludwig Philipp (1840-1901)	Will	Heinrich Ludwig Philipp	Heinrich Ludwig Philipp Will		1840	1901
bm000028131	Haygarth, Walter Jacques (1862-1950)	Haygarth	Walter Jacques	Walter Jacques Haygarth		1862	1950
bm000131057	Vericel, Christian (fl. 1995-2001)	Vericel	Christian	Christian Vericel	fl. 	1995	2001
bm000334732	Seeley, John	Seeley	John	John Seeley			
bm000334092	Takhtajan, Armen Leonovich (1910-)	Takhtajan	Armen Leonovich	Armen Leonovich Takhtajan		1910	
bm000058798	Stewart, D.R.M. (fl. 1959-1973)	Stewart	D.R.M.	D.R.M. Stewart	fl. 	1959	1973
bm000055597	Bauer, Ferdinand Lukas (1760-1826)	Bauer	Ferdinand Lukas	Ferdinand Lukas Bauer		1760	1826
bm000337950	White, J.	White	J.	J. White			
bm000044002	Gimate Leyva, Jorge Rafael (fl. 1972)	Gimate Leyva	Jorge Rafael	Jorge Rafael Gimate Leyva	fl. 	1972	
bm000368718	Titov, A.N. (1959-)	Titov	A.N.	A.N. Titov		1959	
bm000351396	Thiébaut, L. de	Thiébaut	L. de	L. de Thiébaut			
bm000349282	Houle, Gilles	Houle	Gilles	Gilles Houle			
bm000200309	Low, H. (1793-1863)	Low	H.	H. Low		1793	1863
bm000065499	Till, W.J. (fl. 1936)	Till	W.J.	W.J. Till	fl. 	1936	
bm000343763	Danhof, G.N.	Danhof	G.N.	G.N. Danhof			
bm000380786	Hartman, Emily Lou (1932-)	Hartman	Emily Lou	Emily Lou Hartman		1932	
bm000154193	Sutton, Brian Charles (1938-)	Sutton	Brian Charles	Brian Charles Sutton		1938	
bm000355871	Springer, J.K.	Springer	J.K.	J.K. Springer			
bm000128767	Leal, Miguel Esteban (1967-)	Leal	Miguel Esteban	Miguel Esteban Leal		1967	
bm000125944	Moreillon, Eric (fl. 1905)	Moreillon	Eric	Eric Moreillon	fl. 	1905	
bm000137832	Duarte, Mariza Côrtes (fl. 1985)	Duarte	Mariza Côrtes	Mariza Côrtes Duarte	fl. 	1985	
bm000057180	Lotz, Ernst (fl. 1912-1913)	Lotz	Ernst	Ernst Lotz	fl. 	1912	1913
bm000372204	Norstedt, John (fl. 1930)	Norstedt	John	John Norstedt	fl. 	1930	
bm000363203	Ramesh, B.R. (1956-)	Ramesh	B.R.	B.R. Ramesh		1956	
bm000400288	Czernjaëw, B.M.	Czernjaëw	B.M.	B.M. Czernjaëw			
bm000151605	Gyllenhaal, C. (fl. 1996)	Gyllenhaal	C.	C. Gyllenhaal	fl. 	1996	
bm000360830	Schratt, Luise	Schratt	Luise	Luise Schratt			
bm000066708	Cialdella, Ana María (1956-)	Cialdella	Ana María	Ana María Cialdella		1956	
bm000368764	Tsui (Tsueh), You-Wen (Yu-Wen, Yu-Wan) (1907-1980)	Tsui (Tsueh)	You-Wen	You-Wen Tsui (Tsueh)			
bm000041284	Chrysogone	Chrysogone             					
bm000348421	Jørgensen, Christian (1818-1886)	Jørgensen	Christian	Christian Jørgensen		1818	1886
bm000136088	Nolte, D.	Nolte	D.	D. Nolte			
bm000400364	Fitzpatrick, M.F. (fl. 1890)	Fitzpatrick	M.F.	M.F. Fitzpatrick	fl. 	1890	
bm000325956	McClatchie, Alfred James (1861-1906)	McClatchie	Alfred James	Alfred James McClatchie		1861	1906
bm000356579	Williams, A.T.	Williams	A.T.	A.T. Williams			
bm000152857	Mwaura, P.K. (fl. 1992)	Mwaura	P.K.	P.K. Mwaura	fl. 	1992	
bm000346430	Beattie, James (1735-1803)	Beattie	James	James Beattie		1735	1803
bm000364606	Cartwright, R.F.	Cartwright	R.F.	R.F. Cartwright			
bm000338610	Juan Rodríguez, Rocío	Juan Rodríguez	Rocío	Rocío Juan Rodríguez			
bm000357544	Hearsey, John Bennett (1793-1865)	Hearsey	John Bennett	John Bennett Hearsey		1793	1865
bm000044810	Donett, María I.	Donett	María I.	María I. Donett			
bm000377717	Candler, Edmund (fl. 1896-1900)	Candler	Edmund	Edmund Candler	fl. 	1896	1900
bm000381323	White, Peter S. (1948-)	White	Peter S.	Peter S. White		1948	
bm000392089	Littlejohn, Robert (1756-1818)	Littlejohn	Robert	Robert Littlejohn		1756	1818
bm000357166	North, Laura	North	Laura	Laura North			
bm000009105	Wasshausen, Dieter Carl (1938-)	Wasshausen	Dieter Carl	Dieter Carl Wasshausen		1938	
bm000128366	Riggenbach, F.W. (fl. 1902-1909)	Riggenbach	F.W.	F.W. Riggenbach	fl. 	1902	1909
bm000035860	Foster, Racine C. (1910-1991)	Foster	Racine C.	Racine C. Foster		1910	1991
bm000338334	MacTier, W.F.	MacTier	W.F.	W.F. MacTier			
bm000367672	Rea, Paul Marshall (1878-1948)	Rea	Paul Marshall	Paul Marshall Rea		1878	1948
bm000142778	Monti, Laura (fl. 1992)	Monti	Laura	Laura Monti	fl. 	1992	
bm000038295	Mayorga, Luis Armando (fl. 1945)	Mayorga	Luis Armando	Luis Armando Mayorga	fl. 	1945	
