id	name	alias	fl
1-1	Franz Engel	Franz Engel|Theodor Franz Johann August Engel	1834-1920
1-2	Hew D.V. Prendergast	Hew D.V. Prendergast	1950-
10-1	Rudolf J.D.von Fischer-Benzon	Rudolf J.D.von Fischer-Benzon	1839-1911
10-2	J.A. Hernández	J.A. Hernández|J.A. Hernández Valdés	fl. 1994
100-1	Hannu Ahokas	Hannu Ahokas	1947-
101-1	Leslie Walter Allen Ahrendt	Leslie Walter Allen Ahrendt	1903-1969
102-1	Teuvo Tapio Ahti	Teuvo Tapio Ahti|Ted Ahti	1934-
103-1	Luisa Zulema Ahumada	Luisa Zulema Ahumada	1930-
104-1	Dietmar Ernst Aichele	Dietmar Ernst Aichele	1928-1996
105-1	Louis Clément Joseph Aigret	Louis Clément Joseph Aigret	1856-1921
106-1	Whitelaw Ainslie	Whitelaw Ainslie	1767-1837
107-1	Herbert Kenneth Airy Shaw	Herbert Kenneth Airy Shaw|Herbert Kenneth Airy Shaw	1902-1985
108-1	James Edward Tierney Aitchison	James Edward Tierney Aitchison	1836-1898
109-1	John B. Aitken	John B. Aitken	    -1939
11-2	Joko R. Witono	Joko R. Witono	fl. 1998
110-1	William Aiton	William Aiton	1731-1793
111-1	William Townsend Aiton	William Townsend Aiton	1766-1849
112-1	Akira Akahori	Akira Akahori	fl. 1963
113-1	Yoshyuki Akasawa	Yoshyuki Akasawa	1915-
114-1	Laurent Aké Assi	Laurent Aké Assi|Laurent Aké Assi	1931-2014
115-1	John F. Akers	John F. Akers	1906-
116-1	Kazmi Sayed Ali Akhtar	Kazmi Sayed Ali Akhtar|Kazmi Sayed Ali Achtar	1899-
117-1	Ivan Jakovlevic Akinfiev	Ivan Jakovlevic Akinfiev|Jwan Jakovlewitsch Akinfiew|Ivan Yakovlevic Akinfiyev	1851-1919
118-1	Shigeo Akiyama	Shigeo Akiyama	1906-
119-1	E.S. Aksenov	E.S. Aksenov|E.S. Axenov	fl. 1972
12-1	Friederich von Braun	Friederich von Braun	fl. 1820
12-2	Christine Barker	Christine Barker	1954-
120-1	Reino Olavi Alava	Reino Olavi Alava	1915-
121-1	S.A. Alavi	S.A. Alavi	1934-
122-1	Abel Albert	Abel Albert	1836-1909
123-1	Johannes Baptista von Albertini	Johannes Baptista von Albertini	1769-1831
124-1	Byron Wilson Pereira de Albuquerque	Byron Wilson Pereira de Albuquerque|Byron Wilson Pereira de Albuquerque|Byron Wilson Pereira de Albuquerque	1932-2003
125-1	Cornelis Rugier Willem Karel van Alderwerelt van Rosenburgh	Cornelis Rugier Willem Karel van Alderwerelt van Rosenburgh|Cornelis Rugier Willem Karel Alderwerelt van Rosenburgh|Cornelis Rugier Willem Karel van Alderwerelt van Rosenburgh|Cornelis Rugier Willem Karel Alderwerelt van Rosenburgh	1863-1936
126-1	Ulisse Aldrovandi	Ulisse Aldrovandi	1522-1605
127-1	Vasiliy Vasilievich Alechin	Vasiliy Vasilievich Alechin|V.V. Alekhin|V.V. Aléchine	1882-1946
129-1	Friedrich Georg Christoph Alefeld	Friedrich Georg Christoph Alefeld	1820-1872
13-1	Henri Saintange Savouré	Henri Saintange Savouré	1861-1921
130-1	Evgenii Borisovich Alexeev	Evgenii Borisovich Alexeev|Eugeniy Borisovich Alekseev	1946-1987
131-1	Edward Johnston Alexander	Edward Johnston Alexander	1901-1985
132-1	Liviu Alexandrescu	Liviu Alexandrescu	1899-1980
133-1	Leontiy Petrovich Alexandrov	Leontiy Petrovich Alexandrov	1858-1929
134-1	Fyodor Nikitich Alexeenko	Fyodor Nikitich Alexeenko|F.N. Alexejenko|F.N. Alekseenko	1882-1904
135-1	Maria Ignatievna Alexeenko	Maria Ignatievna Alexeenko|M.I. Alexejenko	1905-
136-1	Syed Irtifaq Ali	Syed Irtifaq Ali	1930-
137-1	D.A. Aliev	D.A. Aliev	1913-
138-1	Eugenija Nikolaevna Alissova-Klobukova	Eugenija Nikolaevna Alissova-Klobukova|Eugenija Nikolaevna Alissova Klobukova	1889-1962
139-1	Frédérique (Frédéric) Louis Allamand	Frédérique (Frédéric) Louis Allamand	1735-?1803
14-1	John Salter	John Salter	1798-1874
